ID,topLeft,topRight,bottomRight,bottomLeft,distance,yaw
6,"(377, 303)","(406, 301)","(408, 330)","(379, 332)",4.038529042974116,-3.9451862290365765
6,"(367, 305)","(397, 303)","(399, 332)","(369, 334)",4.038444281339174,-4.321910556437752
6,"(377, 307)","(408, 304)","(411, 334)","(380, 336)",3.9392808215326207,-5.76525023503148
6,"(375, 306)","(407, 304)","(409, 334)","(378, 337)",3.8188423751440115,-6.795277277922605
6,"(410, 310)","(443, 307)","(445, 339)","(412, 341)",3.592509213408951,-4.826324885523818
6,"(432, 301)","(465, 300)","(466, 333)","(433, 334)",3.492491039387788,-1.735704588919256
6,"(453, 298)","(487, 297)","(488, 332)","(454, 333)",3.2783623179635017,-1.3105790504425927
6,"(457, 328)","(493, 325)","(494, 361)","(459, 363)",3.187240363578466,-3.901750977242326
6,"(459, 328)","(496, 326)","(498, 362)","(461, 364)",3.1444551389522513,-3.3865028133978288
6,"(456, 308)","(493, 305)","(496, 342)","(458, 345)",3.0572657516660198,-4.732719573473543
6,"(449, 303)","(487, 300)","(490, 339)","(452, 341)",2.9718007691557684,-3.558208447638588
6,"(446, 297)","(485, 294)","(488, 334)","(449, 336)",2.900956908481332,-3.455094826933529
6,"(441, 300)","(482, 296)","(485, 336)","(444, 340)",2.808567167059154,-5.712967165610597
6,"(453, 297)","(495, 293)","(499, 336)","(457, 339)",2.6859269189398303,-4.5476068253479225
6,"(508, 302)","(552, 298)","(556, 342)","(511, 346)",2.534556951660762,-5.22724613413383
6,"(556, 293)","(603, 288)","(606, 334)","(559, 339)",2.3562966664824008,-5.7001592454563035
6,"(573, 280)","(622, 277)","(625, 324)","(576, 328)",2.290875009737557,-4.065112128388406
6,"(618, 279)","(670, 275)","(672, 325)","(621, 328)",2.1733878880932007,-3.989601729638317
6,"(660, 279)","(714, 275)","(717, 326)","(662, 330)",2.0606368160267787,-3.739907481069081
6,"(796, 260)","(859, 256)","(862, 313)","(799, 315)",1.8840376443524773,-1.9103226170654801
0,"(560, 262)","(569, 262)","(569, 271)","(560, 271)",12.584074346295724,-4.6971745650142576e-14
0,"(567, 275)","(577, 274)","(578, 284)","(568, 285)",11.240095881524317,-5.71059313727764
0,"(572, 292)","(582, 292)","(583, 301)","(572, 302)",10.741025848918785,-3.050395380693247
0,"(541, 292)","(552, 291)","(553, 301)","(542, 302)",10.300168445431279,-5.740139695083644
0,"(530, 289)","(540, 289)","(541, 299)","(530, 300)",10.777384431173855,-4.051853564315058
0,"(549, 282)","(561, 282)","(561, 293)","(549, 294)",9.354661991572112,-3.83023873269266
0,"(552, 273)","(563, 273)","(564, 284)","(553, 285)",9.807825913334367,-5.259370251624792
0,"(561, 273)","(573, 272)","(574, 284)","(562, 285)",9.387155831185595,-4.763641690713004
0,"(561, 288)","(572, 288)","(572, 300)","(561, 300)",9.435039872390682,1.5699926651542875
0,"(559, 285)","(571, 284)","(572, 295)","(560, 296)",9.411171624252864,-5.21830316073903
0,"(539, 282)","(551, 281)","(552, 294)","(540, 295)",8.71920633852008,-3.0782238939411664
0,"(527, 275)","(539, 273)","(541, 285)","(528, 286)",9.075728776515211,-7.587191840839875
0,"(524, 278)","(537, 277)","(538, 289)","(526, 291)",8.997976827848275,-8.661194792745347
0,"(515, 289)","(528, 288)","(529, 300)","(516, 301)",8.795900492336969,-5.05369825533938
0,"(545, 293)","(557, 292)","(558, 305)","(546, 306)",8.692707237363273,-3.2811238811336447
0,"(521, 270)","(535, 269)","(536, 282)","(522, 283)",8.167308338058389,-4.780549742568069
0,"(505, 266)","(518, 265)","(520, 279)","(506, 279)",8.27389722013779,-1.4405468033687223
0,"(486, 276)","(500, 274)","(502, 289)","(488, 290)",7.856905096218532,-5.174588176921467
0,"(478, 270)","(492, 269)","(493, 283)","(479, 285)",7.820019240287233,-10.080957893763351
0,"(465, 264)","(479, 262)","(481, 276)","(467, 278)",8.139221250444404,-8.130102354156014
0,"(458, 266)","(472, 263)","(474, 278)","(460, 280)",7.798543090160476,-8.915040196425805
0,"(461, 276)","(476, 274)","(478, 288)","(463, 290)",7.740988256347891,-8.67945103626625
0,"(486, 248)","(500, 245)","(503, 261)","(488, 263)",7.363109271265263,-7.820410282002845
0,"(475, 237)","(489, 235)","(491, 250)","(477, 252)",7.68990710021301,-6.087095675044029
0,"(484, 238)","(500, 235)","(502, 251)","(486, 253)",7.093469485169167,-8.80385047389978
0,"(493, 236)","(509, 234)","(511, 250)","(495, 252)",7.121356017669174,-7.125016336705155
0,"(489, 249)","(506, 247)","(507, 263)","(491, 264)",6.999045964458404,-6.9009021977698906
0,"(501, 257)","(518, 255)","(519, 272)","(503, 273)",6.896331528219786,-5.06295536881005
0,"(509, 246)","(526, 245)","(527, 261)","(510, 263)",6.677600635402821,-7.596484125669387
0,"(495, 259)","(512, 258)","(513, 275)","(496, 277)",6.480109241807762,-8.703972802176564
0,"(502, 257)","(519, 255)","(520, 273)","(503, 274)",6.474246854018284,-3.9218978536853824
0,"(498, 275)","(515, 273)","(517, 292)","(500, 293)",6.161981631135512,-3.296253239487984
0,"(523, 268)","(541, 266)","(543, 283)","(526, 286)",6.413355358983377,-10.023428762171124
0,"(528, 261)","(547, 259)","(549, 277)","(530, 279)",5.9837012890053956,-6.644175280503136
0,"(531, 258)","(550, 255)","(551, 275)","(533, 276)",5.926188502742246,-4.932286364955273
0,"(532, 260)","(551, 258)","(552, 278)","(533, 279)",5.784855489079249,-3.4240304888617232
0,"(535, 263)","(555, 261)","(556, 280)","(537, 282)",5.7672419253144165,-7.519483979041806
0,"(535, 275)","(555, 273)","(556, 292)","(537, 294)",5.760560064218433,-7.322940964132087
