FrameID,ID,QR 2D,QR 3D: dis,QR 3D: yaw,QR 3D: pitch,QR 3D: roll
425,2,"[(680, 58), (711, 55), (706, 98), (675, 100)]",2.896143266676398,14.206495738991919,42.95195817985011,-168.77170672283077
426,2,"[(723, 68), (754, 65), (750, 110), (718, 111)]",2.822463413131864,16.725415743369467,46.46419067210696,-163.8674654054203
427,5,"[(276, 117), (293, 118), (293, 134), (276, 132)]",8.139926590963587,-0.04816568624585216,-19.096890675776823,178.88483822173956
428,5,"[(298, 110), (316, 111), (314, 127), (298, 125)]",7.837426706349719,-5.210049332551051,-33.87997567772406,-140.8878089258398
429,5,"[(305, 94), (322, 95), (321, 111), (305, 110)]",7.898634457275693,-9.5210969879696,-37.088937318064296,-142.71791139101205
430,5,"[(324, 96), (341, 97), (341, 113), (325, 113)]",7.8068030626181635,-10.406429371915436,-34.26219616020755,-148.47469560003216
432,4,"[(235, 158), (244, 158), (245, 167), (236, 167)]",14.674891603445928,-0.9113656084302306,-3.682247578956459,-166.84685180898228
435,5,"[(423, 128), (440, 127), (441, 143), (424, 144)]",7.153499284086544,-4.7116602270526755,-4.543133033133181,173.02740363237353
436,5,"[(422, 136), (439, 135), (440, 152), (424, 153)]",7.205686017447079,-11.569667413547421,-26.156036992404868,-153.1861484320826
437,5,"[(434, 164), (451, 165), (451, 182), (435, 182)]",6.931648270398336,-6.777946747563391,-33.11273367556783,-165.28140514157022
438,5,"[(457, 177), (474, 176), (473, 193), (456, 193)]",6.6873557962604835,-0.2502601326843603,6.422769492751993,169.1942470181412
439,5,"[(462, 177), (478, 178), (478, 195), (461, 195)]",6.7814907636407495,-5.84893236686807,-32.238374660516335,-159.28041900499238
440,5,"[(441, 198), (457, 199), (457, 216), (440, 215)]",6.9906499481041475,3.897734874619431,2.765462854464331,-172.67648035223667
441,5,"[(416, 193), (433, 193), (434, 210), (416, 210)]",6.931224815685271,-1.7306997835518416,-8.462970474621901,179.2263560616932
442,5,"[(386, 171), (404, 171), (404, 189), (386, 187)]",6.957074019045575,-0.019200708402451028,-14.41519492910262,176.9819267630879
443,5,"[(351, 199), (368, 197), (370, 215), (352, 216)]",6.857367604356077,-4.906495246085626,0.23776674265956677,179.7998587933524
444,2,"[(881, 35), (939, 10), (940, 96), (881, 114)]",1.5647876565097971,8.695136190002899,64.43837197012958,-168.045124799237
445,4,"[(230, 288), (240, 289), (240, 298), (230, 298)]",13.258053489682155,-0.687946155231657,-46.92165632679531,-178.21777914373203
446,5,"[(371, 217), (389, 216), (391, 235), (373, 236)]",6.352859829726842,-2.04757709893218,6.102685616487226,-170.41274913405277
447,5,"[(406, 219), (426, 216), (427, 235), (408, 236)]",6.121710442069487,-10.505820535316815,-22.739459762469558,-145.0158370824563
448,5,"[(428, 176), (447, 176), (448, 195), (428, 195)]",6.19054328361608,-1.6056755588497253,-7.158074874379652,178.88331062444703
449,5,"[(476, 163), (495, 162), (496, 182), (477, 183)]",5.952022290900413,-1.1803029345560958,7.4622394412569895,-174.5716319801699
450,5,"[(490, 161), (510, 160), (511, 181), (492, 182)]",6.007688198767042,-6.521441151347744,-15.979932018995488,-164.9035517388198
451,5,"[(517, 156), (538, 154), (539, 175), (519, 176)]",5.6568785985840835,-7.407523396181119,-12.607798763370095,-150.8794797606847
452,4,"[(410, 246), (420, 245), (421, 255), (411, 255)]",12.114955246563156,-4.480168893577769,-10.96718938084232,-158.17068193093834
453,5,"[(536, 139), (558, 138), (558, 159), (537, 160)]",5.38890276060313,-6.2367474598947865,-13.017532900769105,-144.1387865218412
