FrameID,ID,topLeft,topRight,bottomRight,bottomLeft,distance,yaw
835,8,"(540, 23)","(638, 18)","(628, 128)","(528, 127)",1.1065458039250349,5.764413502488544
836,8,"(491, 19)","(591, 13)","(583, 122)","(483, 124)",1.1099802476128833,3.7130311679867205
837,8,"(400, 22)","(494, 17)","(490, 126)","(396, 126)",1.168506261731402,4.109540695000113
838,8,"(294, 43)","(387, 43)","(382, 150)","(289, 146)",1.213253267693438,4.994077105871725
839,8,"(269, 31)","(363, 31)","(359, 138)","(266, 135)",1.2290994707545932,4.555010858272637
840,1,"(846, 179)","(864, 180)","(861, 195)","(844, 194)",6.929478473858035,5.267266047211419
841,8,"(246, 27)","(343, 29)","(338, 139)","(243, 135)",1.204244263388935,5.285729238253603
855,1,"(416, 89)","(430, 89)","(430, 103)","(416, 103)",8.699339092012703,-1.8005056499032924e-13
936,9,"(405, 19)","(461, 16)","(468, 78)","(412, 81)",2.132592302454151,-0.6465365201545233
937,9,"(388, 53)","(447, 51)","(453, 112)","(393, 115)",2.0731810996453577,-3.3166637552571454
938,9,"(393, 30)","(455, 29)","(458, 92)","(396, 93)",2.0062543577865477,-1.7833107073241765
939,9,"(404, 20)","(468, 19)","(471, 84)","(408, 85)",1.9624658169184541,-1.948806045126813
940,9,"(389, 51)","(452, 52)","(455, 119)","(392, 120)",1.8900950402740186,-12.240863177784249
941,9,"(379, 65)","(444, 64)","(448, 131)","(384, 134)",1.8670262044564194,-12.796387775625702
942,9,"(368, 91)","(435, 89)","(439, 156)","(374, 160)",1.8311838677510641,-12.514419294424284
943,9,"(377, 97)","(446, 94)","(451, 163)","(384, 167)",1.784778328955376,-3.3170621394784887
944,9,"(396, 60)","(468, 58)","(474, 131)","(404, 135)",1.7179512740861123,-10.614911418318162
945,9,"(410, 82)","(484, 79)","(488, 158)","(414, 162)",1.5551052640422613,-0.39139958748079184
946,9,"(402, 125)","(478, 125)","(481, 205)","(405, 206)",1.513575502743546,0.9379125999918185
947,9,"(416, 178)","(495, 177)","(497, 259)","(420, 261)",1.435488202449197,0.3218602730004369
948,9,"(434, 170)","(516, 168)","(519, 251)","(438, 255)",1.401172911042399,-7.277437064466783
949,9,"(419, 157)","(504, 154)","(507, 240)","(424, 245)",1.3594793287943299,-8.977714251127514
950,9,"(370, 92)","(463, 88)","(470, 183)","(378, 191)",1.2715828861257776,-2.664117249883282
951,9,"(332, 100)","(428, 96)","(436, 193)","(341, 202)",1.2452173483726434,-14.88341590904013
952,9,"(240, 68)","(347, 64)","(359, 168)","(254, 179)",1.2053454677915825,-18.54080026295017
953,9,"(147, 61)","(266, 55)","(281, 172)","(165, 186)",1.1145308550353004,-4.941313076155047
954,9,"(45, 124)","(178, 115)","(195, 235)","(67, 255)",1.0841910822752867,-29.18946919068718
974,8,"(406, 105)","(427, 103)","(428, 122)","(409, 125)",5.997664894001038,-16.0409119894571
976,8,"(354, 160)","(374, 157)","(376, 176)","(356, 179)",6.0200131632516864,-8.663921303790726
978,8,"(298, 201)","(319, 200)","(322, 218)","(302, 222)",6.263985759911041,-14.910993640527222
980,8,"(222, 292)","(244, 288)","(246, 308)","(225, 312)",5.969090711006704,-20.27217327447703
981,8,"(176, 336)","(199, 333)","(201, 353)","(180, 357)",6.143520635857778,-16.398635907939642
982,8,"(163, 378)","(187, 374)","(189, 394)","(167, 398)",6.234075992501511,-13.489237710939172
983,8,"(137, 387)","(162, 384)","(165, 403)","(142, 408)",6.305135823038276,-11.72192652884396
984,8,"(134, 375)","(157, 371)","(162, 392)","(138, 396)",6.145292624973752,-10.720845812085917
985,8,"(136, 356)","(160, 352)","(164, 373)","(141, 377)",6.143806651567121,-10.975061131317366
986,8,"(131, 337)","(155, 334)","(159, 356)","(136, 360)",5.774607495099464,-18.29806257016389
987,8,"(134, 369)","(159, 365)","(164, 385)","(140, 391)",6.0685138110881915,-16.487003722202637
988,8,"(160, 394)","(184, 388)","(190, 410)","(166, 415)",5.828285927842261,-13.961444320066734
989,8,"(190, 345)","(214, 340)","(219, 362)","(195, 367)",5.638572310807029,-13.12049837792565
